"भारतीय प्रबंध संस्थान इंदौर/ Indian Institute of Management, Indore",,,,,,,,,
शैक्षणिक वर्ष/Academic Year : 2025-26,,,,,,,,,
Tentative Time Table IPM 2024-29 Batch Term V,,,,,,,,,
Day and Date,Room No.,"9 AM to
 10:15 AM",10.30 am to 11.45 am,12.00 Noon to 1.15 pm,,"2.30 pm to
  3.45 pm","4.00 pm to
  5.15 pm","5.30 pm to
  6.45 pm",7:00 pm to 8:15 pm
"Monday, 6 October, 2025",E-301,Term Registration and Distribution of Books/Readings,,,,LAW 1 A,MVS 1 A,,
"Monday, 6 October, 2025",E-303,,,,,MVS 1 B,LAW 1 B,,
,,,,,,,,,
"Tuesday, 7 October, 2025",E-301,,WD 1 A,AETH 1 A,,,LAW 2 A,,
"Tuesday, 7 October, 2025",E-303,,AETH 1 B,WD 1 B,,LAW 2 B,,,
,,,,,,,,,
"Wednesday, 8 October, 2025",E-301,LAW 3 A,LP 1 A,LSF-II 1,,LAW 4 A,CSI 1 A,,
"Wednesday, 8 October, 2025",E-303,LP 1 B,LAW 3 B,,,CSI  1 B,LAW 4 B,,
,,,,,,,,,
"Thursday, 9 October, 2025",E-301,,LAW 5 A,,,CSI  2 A,,,
"Thursday, 9 October, 2025",E-303,LAW 5 B,,,,,CSI  2 B,,
,,,,,,,,,
"Friday, 10 October, 2025",E-301,LP 2 A,,LSF-II 2,,WD 2 A,,,
"Friday, 10 October, 2025",E-303,,LP 2 B,,,,WD 2 B,,
,,,,,,,,,
"Saturday, 11 October, 2025",E-301,MVS 2 A,CSI  3 A,LSF-II 3,,,LP 3 A,,
"Saturday, 11 October, 2025",E-303,CSI  3 B,MVS 2 B,,,LP 3 B,,,
,,,,,,,,,
"Sunday, 12 October, 2025",E-301,SUNDAY,,,,,,,
"Sunday, 12 October, 2025",E-303,,,,,,,,
,,,,,,,,,
"Monday, 13 October, 2025",E-301,,MVS 3 A,LSF-II 4,,CSI  4 A,LP 4 A,,
